STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N
3660,HUNASINA KERE,TANK,KARNATAKA,24.0,31.0,6.8,8.9,7.9,9.1,10.0,1240.0,4.2,6.0,0.23,0.46
3661,KOKKANAGHATTADODDAKERE,TANK,KARNATAKA,24.0,29.0,6.2,8.4,7.6,8.9,620.0,1430.0,3.0,5.0,0.14,0.36
3668,SODHARAHALLIKERE,TANK,KARNATAKA,25.0,25.0,5.1,5.5,7.6,8.0,440.0,490.0,3.0,3.0,0.13,0.17
3669,SHELERAMANAHALLIKERE,TANK,KARNATAKA,25.0,26.0,5.4,52.0,7.7,8.0,400.0,440.0,2.0,2.0,0.12,0.13
3677,SHARANABAWESHWARA KERE,TANK,KARNATAKA,26.0,30.0,6.0,7.2,7.2,8.8,992.0,2010.0,11.0,23.0,0.0,0.0
3679,BHUTANALA LAKE,TANK,KARNATAKA,25.0,34.0,6.7,9.7,7.4,8.4,460.0,1380.0,0.5,39.0,0.8,2.62
3680,KILLA LAKE,TANK,KARNATAKA,24.0,36.0,5.3,8.8,7.5,8.0,340.0,580.0,1.0,3.4,0.16,1.61
3681,ANGOL MI TANL,TANK,KARNATAKA,24.0,32.0,1.4,8.4,6.5,9.1,480.0,5700.0,16.5,41.3,0.48,2.4
3682,KAKATI  POND,TANK,KARNATAKA,24.0,33.0,5.8,10.4,8.1,9.1,400.0,5800.0,2.2,16.2,0.58,5.6
3683,HEREKERE,TANK,KARNATAKA,25.0,27.0,3.1,4.2,6.9,8.2,530.0,2210.0,23.1,165.5,0.51,6.01
3684,KELEGERE,TANK,KARNATAKA,26.0,28.0,7.1,7.4,7.7,9.6,972.0,1453.0,3.2,6.5,0.48,3.53
3685,NAVALOORU LAKE,TANK,KARNATAKA,26.0,28.0,6.1,6.6,7.6,8.6,830.0,2460.0,4.4,14.1,0.86,2.58
3686,NIRASAGARAKERE,TANK,KARNATAKA,26.0,29.0,7.0,7.6,7.2,8.5,560.0,790.0,3.0,6.8,0.33,1.85
3687,NUGGIKERE,TANK,KARNATAKA,25.0,28.0,6.1,6.9,7.6,9.0,696.0,1534.0,3.4,8.6,0.31,2.43
3688,SUDANAKERE,TANK,KARNATAKA,27.0,28.0,6.3,7.6,7.3,9.4,566.0,1358.0,3.9,8.6,0.25,2.6
3689,SOMESHWARAKERE,TANK,KARNATAKA,25.0,28.0,5.9,6.5,7.3,8.6,778.0,1230.0,4.7,13.7,0.12,3.63
3690,UNAKALKERE,TANK,KARNATAKA,26.0,29.0,6.6,7.3,7.6,8.5,1213.0,2050.0,3.6,8.0,0.69,4.42
3691,VIMANABHUTHIKERE,TANK,KARNATAKA,25.0,30.0,5.9,7.5,7.2,8.3,90.0,160.0,2.0,3.0,0.0,1.2
